oid	schema	name	identity_args	return_type	prokind	provolatile	prosecdef	owner	proconfig	language	prosrc_md5	prosrc_len	proacl
70047	public	can_create_user_with_role	p_creator_id uuid, p_role_name text	boolean	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	9632d8efbc911c8bb08839ba121ae99d	566	postgres=X/postgres,service_role=X/postgres
143448	public	can_pos_undo_transaction	p_transaction_id uuid, p_actor uuid	boolean	FUNCTION	v	true	postgres	search_path=pg_catalog, public	plpgsql	859634c4874bedd76b825bbf2f9d0034	941	postgres=X/postgres,service_role=X/postgres
143547	public	can_reverse_document	p_actor uuid, p_store_id uuid, p_operation text	boolean	FUNCTION	v	true	postgres	search_path=pg_catalog, public	plpgsql	fcd2b380b756592acd3ba76a124b9025	1141	postgres=X/postgres,service_role=X/postgres
79082	public	can_safely_delete_user	p_user_id uuid	boolean	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	2514a7026150e2cf0612e7c9f35fc82f	1153	postgres=X/postgres,service_role=X/postgres
28123	public	can_void_receipt	p_receipt_id uuid	boolean	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	ed8b6186cb3462886050528e85301c2d	328	postgres=X/postgres,service_role=X/postgres
34760	public	cancel_reception	p_reception_id uuid	void	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	529d9515419f4d6f61b129639a952dee	1753	postgres=X/postgres,service_role=X/postgres
130873	public	cancel_transfer	p_transfer_id uuid, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	2a5a9ce7940f3981fc3310467586441a	955	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
137483	public	cancel_transfer	p_transfer_id uuid, p_reason text, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	381d4db2d513e4608ba3eaa79564014a	1474	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
134479	public	cash_dist	money, money	money	FUNCTION	i	false	supabase_admin		c	1acd79b2b4b9df652d58d90e72f05a29	9	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
25491	public	check_active_user		trigger	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	b33d09a72a2cf7caf7cb9e4f834661dc	261	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
137816	public	check_bulk_ops_hourly_limit	p_user_id uuid, p_plan text	jsonb	FUNCTION	s	true	postgres	search_path=public	plpgsql	41c789cb3cc30cbbc14153ebac3c2876	473	postgres=X/postgres,service_role=X/postgres
25493	public	check_cash_session_open		trigger	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	7d14a9bd42aaa03ee13ad7abf787635a	141	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
138689	public	check_idempotency	p_key text, p_operation text, p_record_id uuid, p_param_hash text	jsonb	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	1dd2aac68168112d0ace24b22e3ee932	1253	postgres=X/postgres,service_role=X/postgres
63381	public	check_reception_cost_variation		trigger	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	59768491ba5c1855c09d8024e71fd31a	525	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
138145	public	check_tenant_store_quota	p_tenant_id uuid, p_plan plan_t	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	17aedf8b0fd7cad9db81968dbb2a4933	801	postgres=X/postgres,service_role=X/postgres
21756	public	cleanup_expired_idempotency_keys		void	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	475857f1d34c092a5cf4779c0e44e817	87	postgres=X/postgres,service_role=X/postgres
132926	public	cleanup_old_aggregates	p_days integer	integer	FUNCTION	v	true	postgres	search_path=pg_catalog, public	plpgsql	f83b7a58ee029647eea1a41ed4a156d4	200	postgres=X/postgres,service_role=X/postgres
25489	public	close_cash_session	p_session_id uuid, p_counted_cash numeric	void	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	bdf10cac178def58117571ba5affbd67	1020	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
138285	public	close_cash_shift	p_closure_id uuid, p_declared_cash numeric, p_declared_vouchers numeric, p_notes text, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=pg_catalog, public	plpgsql	b176bb225db3f1aba7f26c2f2f63975a	5655	postgres=X/postgres,service_role=X/postgres
137076	public	close_fiscal_period	p_store_id uuid, p_year integer, p_month integer, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	2429aa102bd9d7015c3923f8e626728d	2820	postgres=X/postgres,service_role=X/postgres
138633	public	close_production_order_v2	p_order_id uuid, p_store_id uuid, p_seller_id uuid, p_final_amount numeric, p_final_method text, p_final_currency text, p_exchange_rate numeric, p_output_product_id uuid, p_output_quantity numeric, p_user_id uuid, p_idempotency_key text	jsonb	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	234eed0f145a71f3c7468297ae2354e4	7543	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
138627	public	close_service_order_as_sale	p_order_id uuid, p_store_id uuid, p_seller_id uuid, p_payment_method text, p_currency text, p_exchange_rate numeric, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	b1e7f9cf60118e52ebb2da91fbc8c853	4272	postgres=X/postgres,service_role=X/postgres
136719	public	compensate_inventory_error	p_store_id uuid, p_original_movement_id uuid, p_reason text, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	1b03feb3441f50917d8d36f879eb096c	1320	postgres=X/postgres,service_role=X/postgres
136899	public	confirm_inventory_adjustment	p_adjustment_id uuid, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	d43cf0b83d5deb8885d49479b6914d14	2058	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
136713	public	confirm_pending_reception	p_receipt_id uuid, p_user_id uuid, p_operation_date timestamp with time zone	void	FUNCTION	v	true	postgres	search_path=public	plpgsql	6c5b10f97f8bb1d1c0eb83cd2c3d3c19	1992	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
133208	public	confirm_transfer	p_transfer_id uuid, p_user_id uuid, p_operation_date timestamp with time zone	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	91cb7a90d2775859ce1d42b09da160cc	4699	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
136269	public	create_devolution	p_store_id uuid, p_items jsonb, p_reason text, p_user_id uuid, p_original_transaction_id uuid, p_payment_method text, p_customer_id uuid, p_customer_name text, p_notes text	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	92a0d6d20925b93d525226981c7278a9	2330	postgres=X/postgres,service_role=X/postgres
136967	public	create_devolution	p_store_id uuid, p_items jsonb, p_reason text, p_original_transaction_id uuid, p_payment_method text, p_customer_id uuid, p_customer_name text, p_notes text, p_currency text, p_exchange_rate numeric	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	5676c618180f37db1cca680043bebaf4	3108	postgres=X/postgres,service_role=X/postgres
138865	public	create_devolution_v2	p_store_id uuid, p_items jsonb, p_reason text, p_user_id uuid, p_original_transaction_id uuid, p_payment_method text, p_customer_id uuid, p_customer_name text, p_notes text, p_idempotency_key text	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	75c4b5bdc1e106149d877a0d036c7f16	7679	postgres=X/postgres,service_role=X/postgres
136801	public	create_physical_count	p_store_id uuid, p_user_id uuid, p_notes text	uuid	FUNCTION	v	true	postgres	search_path=public	plpgsql	84fdeb9ae2e01d3567fa2c487fc0619b	1096	postgres=X/postgres,service_role=X/postgres
137570	public	create_pre_restore_snapshot	p_store_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	d1928efec1e0f6afeba3603138a8cd38	3882	postgres=X/postgres,service_role=X/postgres
