product_id,sku,name,backup_qty,current_stock,delta,be_post_events,be_post_qty,be_types_json,be_last_new_qty,be_last_at,classification,confidence,treatment
da1c4090-3e10-4120-a2bc-24da53cffe16,CAT-0002,Abrazade metálica de 1 pulgada,32,966,934,,934,,966,2026-08-16T22:01:13.103154+00:00,DELTA_CONFIRMED_BY_EVENTS,CONFIRMED,INCLUDE_AT_CURRENT
5dd7ff57-9c62-4431-baba-229f9cf62acf,CAT-0010,Brida 58,1,2,1,,1,,2,2026-08-16T21:21:29.396686+00:00,DELTA_CONFIRMED_BY_EVENTS,CONFIRMED,INCLUDE_AT_CURRENT
01301a54-816a-4e32-9bd4-0d126d2f91c4,CAT-0021,Colchón Milexus,0,1,1,,1,,1,2026-08-02T05:22:39.615345+00:00,DELTA_CONFIRMED_BY_EVENTS,CONFIRMED,INCLUDE_AT_CURRENT
f648c3f8-0c60-4559-b76b-95bc02d9a816,CAT-0081,Bridas de 4x8 400mm,501,497,-4,,-4,,497,2026-08-16T21:20:51.698872+00:00,DELTA_CONFIRMED_BY_EVENTS,CONFIRMED,INCLUDE_AT_CURRENT
