get_sales_since_last_closure(uuid)  prod=8fbabbe91cab0e22e89bf6948056c3e1  repo=69b8401e62aa783593022e5edce554c1
get_tenant_sales_summary(uuid,integer)  prod=ea784e65830c977643c5e87da1e1a065  repo=fb8feb994533c754ecaaeb4b1c44cd7e
get_usage_forecast()  prod=cb7421754677ea013901af6a04f71b87  repo=a501e4d0b5f4de05b457af6ae534272b
get_users_for_encargado(uuid)  prod=70ce610615adc9eb172be9e80132a9f0  repo=45f348d44ba30f80230ca4a3739e68be
has_any_role(user_role[])  prod=0d8cce0c9e0007c518fae35f12012e69  repo=fdf3429534149e4cc5e88e02d4ee3d8d
has_management_access_as(uuid,uuid)  prod=9fc4fe08e9181932bb60a5104c1fb133  repo=4a6480cb715cc093d71adc616d6655c3
has_role(uuid,user_role)  prod=a3931add8d222d20b8f2f8b95d3d80d4  repo=e01e9a89c26b99c16dfacbf049fc7d62
has_store_access_as(uuid,uuid)  prod=7bd255169148c5c87bf00e6a96f29d3f  repo=4154a4a36c3a06b41bd72cb5c3588f69
is_admin_with_access(uuid)  prod=4973faf6563c98577425cc6e61e91d07  repo=9b77c507b9dd840427de1f3ddb3407dd
is_managed_user(uuid)  prod=9e92d53752af5f6e90549b63c935e8e4  repo=c6ba871dade44580e1206d6d45df3de5
is_store_manager(uuid)  prod=471cfcc9d6dc7645028415c49f7782ee  repo=b9845114f8bfe53864421fe6bf0b9721
is_user_creator(uuid)  prod=38e5041bfe9829b28b756d9a636a5f90  repo=0c4eac10cc2f219151e01ef20196efc6
log_transaction_changes()  prod=3c852f340528891f438982fe027619e6  repo=0ca672fcc6ac9c3f986b345912b4b1a6
manage_user_memberships(uuid,jsonb)  prod=17b3beaba6c2287ccbfd68d2fc03176d  repo=eb2fc14ef6665b93dec941e69933ca58
managed_create_store(text,text)  prod=2546c54a4da13b8a9c4b38ff1c2a9f53  repo=90e341f1127afe0077e233d2377ff519
managed_delete_product(uuid)  prod=3e034c8e8b0bf91f900daf5d05e23449  repo=1db4de6685b99b1680066e81248bd6a3
managed_delete_user(uuid)  prod=634509e836e7ad37d6db36942aaf86e3  repo=a7f9d3d6f1908f428edb2fbbf04ae783
managed_toggle_product_active(uuid,boolean)  prod=59641aa593f4b74b73e022e3f98bec34  repo=a85dae1f4302cbda7e3335667df23330
perform_inventory_adjustment(uuid,uuid,numeric,text,uuid,numeric,timestamp with time zone)  prod=30d2b34fa02297c65f7b83683918ad3b  repo=6882ecd3e21c8fa40b8af041308cb479
record_counted_quantity(uuid,uuid,numeric,uuid,text)  prod=9290badee5c690252028d3485662784b  repo=471e099515b61d0c2759bb9d6ad230e9
record_sale_movement(uuid,uuid,uuid,integer,text)  prod=1d53d40620dae8fd14d45aeab8c56f71  repo=6c3b0621df51c328dad835a6bd206a71
register_idempotency(text,text,uuid,text,jsonb)  prod=7fd6c1f404bad1beaf0ab6c61c2135d5  repo=724c8655f8113c5234949089aa1aca98
register_stock_movement(uuid,uuid,numeric,text,text,uuid,uuid,uuid,numeric,text,timestamp with time zone,boolean)  prod=bec3b16423fc6450d2d8aa3ff6c0ce49  repo=dae68e523f88128c57fb4319f9003649
reject_transfer(uuid,text,uuid)  prod=515f3b9c948f0396ef4acc9e9b70c8d9  repo=99a9b15aa064c4d619fdf650d1aae80d
release_expired_reservations()  prod=2aed6c4624150a25e7d16643e11d4d7a  repo=28417584c0e1b38dbdcebe6f155c6691
